Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Difference,Amount Differences
2006122117665,2006-12-14 00:00:00,2006-12-09 00:00:00,F,Foreign airport,USA 3000 (U5),Passenger Property Loss,Checked Baggage,Jewelry - Fine,1510.0,Denied,0.0,Deny,5.0,1510.0
2012052294175,2012-04-30 00:00:00,2012-02-16 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,0.0,Deny,,,74.0,
2006042404964,2006-04-14 00:00:00,2006-02-02 00:00:00,SFO,San Francisco International,Frontier Airlines,Passenger Property Loss,Checked Baggage,Other,175.87,Closed as a contractor claim,0.0,,71.0,175.87
2010080574536,2010-07-30 00:00:00,2010-07-16 12:00:00,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,Clothing; Other,0.0,Deny,,,13.0,
2010071473638,2010-07-01 00:00:00,2010-06-18 19:30:00,KOA,Kona International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Personal Electronics,0.0,Deny,,,12.0,
2005010472637,2004-12-14 00:00:00,,,,USAir,Passenger Property Loss,Checked Baggage,Jewelry - Fine,33.11,Canceled,,,,
2015050522306,2015-04-28 00:00:00,2015-04-03 00:00:00,SEA,Seattle-Tacoma International,,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,16.0,Approve in Full,,,25.0,
0107233M,2004-01-07 00:00:00,2003-12-25 00:00:00,MCO,Orlando International Airport,Continental Airlines,,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,258.0,Approved,258.0,Approve in Full,13.0,0.0
0714005M,2003-07-14 00:00:00,2003-06-21 00:00:00,CLE,Cleveland Hopkins International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,47.81,Approved,47.81,Approve in Full,23.0,0.0
2014020411426,2014-02-03 00:00:00,2013-12-15 00:00:00,SAT,San Antonio International,USAir  ,Property Damage,Checked Baggage,Other; Personal Electronics,0.0,Deny,,,50.0,
2013011099799,2012-11-26 00:00:00,2012-11-02 00:00:00,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,104.94,Approve in Full,,,24.0,
2006121517245,2006-12-11 00:00:00,2006-12-09 00:00:00,RIC,Richmond International,,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,1950.0,Denied,0.0,Deny,2.0,1950.0
0226002L,2003-02-26 00:00:00,,,,,,Other,Other,,Canceled,0.0,,,
2012082996391,2012-07-16 00:00:00,2012-07-16 06:00:00,PHL,Philadelphia International Airport,,Passenger Property Loss,Checkpoint,Personal Electronics,,,,,-1.0,
2012040592564,2012-03-06 00:00:00,2012-02-27 09:30:00,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras,0.0,Deny,,,7.0,
